평점,작성자,작성일,구매옵션,리뷰내용,이미지URL
5,dbru*****,2025.10.27,디자인: [BEST]마블아이보리 / 두께 / 폭: 1.7cm/140cm / 길이: 400cm,판매자분도 친절하시고 저렴한 가격에 매트 구매했어요 감사두려요!,이미지 없음
5,27_y***,2025.10.27,디자인: 🔥HOT🔥퓨어아이보리 / 두께 / 폭: 1.7cm/140cm / 길이: 400cm,생각보다 두껍고 탄탄해서 만족스럽습니다. 냄새도 하루이틀이면 빠지는 것 같아요. 색두 이쁘네요,https://phinf.pstatic.net/checkout.phinf/20251027_9/1761527178077dWuul_JPEG/image.jpg?type=f300_300
5,dieg******,2025.10.27,디자인: 딜라이트우드 / 두께 / 폭: 1.2cm/140cm / 길이: 200cm,배송이 빠르고 푹신합니다,https://phinf.pstatic.net/checkout.phinf/20251027_170/1761526014262uqDIk_JPEG/1761526005343.jpg?type=f300_300
5,dieg******,2025.10.27,디자인: 딜라이트우드 / 두께 / 폭: 1.2cm/140cm / 길이: 100cm,배송이 빠르고 푹신해요,https://phinf.pstatic.net/checkout.phinf/20251027_131/1761525970318jqtII_JPEG/1761525944512.jpg?type=f300_300
5,qodb*****,2025.10.26,디자인: 🏆BEST🏆마블아이보리 / 두께 / 폭: 1.7cm/70cm / 길이: 50cm,주방매트로 쓰려고 샀는데 푹신하고 좋은듯합니다,https://phinf.pstatic.net/checkout.phinf/20251026_105/1761488251777qk4j2_JPEG/1000011745.jpg?type=f300_300
5,anay***,2025.10.26,디자인: 🏆BEST🏆마블아이보리 / 두께 / 폭: 1.7cm/70cm / 길이: 200cm,좋은 제품 싸게 잘 샀습니다.,https://phinf.pstatic.net/checkout.phinf/20251026_215/1761487407098tMxsu_JPEG/1000004329.jpg?type=f300_300
5,anay***,2025.10.26,디자인: 🔥HOT🔥퓨어아이보리 / 두께 / 폭: 1.7cm/140cm / 길이: 250cm,좋은 제품 싸게 잘 샀습니다.,https://phinf.pstatic.net/checkout.phinf/20251026_118/1761487381783BtQw9_JPEG/1000004328.jpg?type=f300_300
5,na****,2025.10.26,디자인: 딜라이트우드 / 두께 / 폭: 1.2cm/140cm / 길이: 900cm,아주좋아요 만족합니다,https://phinf.pstatic.net/checkout.phinf/20251026_76/1761479163887tfIqf_JPEG/11706.jpg?type=f300_300
5,na****,2025.10.26,디자인: 딜라이트우드 / 두께 / 폭: 1.4cm/110cm / 길이: 600cm,아주좋아요 만족합니다,https://phinf.pstatic.net/checkout.phinf/20251026_169/1761479129292eiITF_JPEG/11706.jpg?type=f300_300
5,na****,2025.10.26,디자인: 딜라이트우드 / 두께 / 폭: 1.2cm/110cm / 길이: 600cm,아주좋아요 만족합니다,https://phinf.pstatic.net/checkout.phinf/20251026_295/1761479083937JE9ik_JPEG/11679.jpg?type=f300_300
5,c209******,2025.10.26,디자인: 🔥HOT🔥퓨어아이보리 / 두께 / 폭: 1.7cm/110cm / 길이: 250cm,"라이브할때 정말 잘 샀어요. 거실 복도에만 시공매트했는데 아이가 자꾸 주방에 와서 식세기 밥솥 매직캔 다 만져대서 안전문 설치하고 롤매트 깔아두자 하고 구매한건데 대만족입니다. 완전 안전문이랑 세트로 잘 샀어요 아이도 잘 놀고 찌걱소리 난다는데 안 나고 냄새는 이틀정도 작은방에 세워뒀더니 거의 빠졌어요. 로청 기준 흡입, 물청소 다 잘돼요 굿굿",https://phinf.pstatic.net/checkout.phinf/20251026_181/1761468920296v32El_JPEG/IMG_2545.jpeg?type=f300_300
5,guoh******,2025.10.26,🍁가을할인페스타🍁 디자인: 🏆BEST🏆마블아이보리 / 두께 / 폭: 1.2cm/140cm / 길이: 500cm,좋아요 ㅎㅎ 감사합니다,이미지 없음
5,jong***,2025.10.26,🙇‍♂️추석세일🙇‍♀️디자인: 소프트그레이 / 두께 / 폭: 1.7cm/140cm / 길이: 400cm,어머님댁에 주방에 깔았어요! 푹신하고 물건 떨어뜨려도 소리 없으니 무척 좋으네요!,https://phinf.pstatic.net/checkout.phinf/20251026_287/1761462841834vDE8U_JPEG/be09fcad-5075-4aa2-8408-01fe638f42f5-1_all_2.jpg?type=f300_300
5,vort*******,2025.10.26,디자인: 🏆BEST🏆마블아이보리 / 두께 / 폭: 1.2cm/140cm / 길이: 250cm,"아기가 점점 커가면서 집안 구석구석을 기어 다니고 슬슬 걸어 다닐라고 해서 소음 매트를 찾아보다가
따사룸 매트를 보게 됐는데 
디자인, 사이즈, 두께가 다양해서 선택지가 다양해서
너무 마음에 들었습니다.
저는 1.2cm 두께로 구매했는데 
소음도 잘잡아주고 생각보다 너무 폭신해서
설치를하고 또한번 잘삿다고 생각했습니다 일단 스크래치에도 강하고 생활방수도 잘돼있고 아이가 사용 하는거다보니 첫째도 안전 둘째도 안전인데 화학물질도 안나오고 미끄럼 방지고 돼어있어 믿고 구매했습니다 
매트 고민중이 시면
따사룸 매트 추천드려요",https://phinf.pstatic.net/image.nmv/shopnbuyer_2025_10_26_2563/9PPmzxFyqz_03.jpg?type=ffn300_300
5,nago***,2025.10.26,디자인: 🔥HOT🔥퓨어아이보리 / 두께 / 폭: 2.2cm/110cm / 길이: 200cm,"두껍고 엄청 튼튼하고 찍찍소리도 안나서 
전체적으로 넘 만족스러워요 
가격도 다른데보다 저렴했어요 
2미터씩 재단원했는데 10센치정도 더 크게 와서
잘라내느라 힘들긴 했네요 
그래도 다 해두고나니 깔끔하고 맘에들어요",https://phinf.pstatic.net/checkout.phinf/20251026_66/1761450126123SJLcv_JPEG/IMG_0357.jpeg?type=f300_300
5,thgm******,2025.10.26,디자인: 🔥HOT🔥퓨어아이보리 / 두께 / 폭: 1.7cm/110cm / 길이: 400cm,아이가 커서 이제 집복도에서 뛰어다녀서 구매했어요! 1.7cm두께인데도 생각보다 푹신하고 바닥에 밀리지도 않아서 좋더라구요👍👍 완전 만족입니다,https://phinf.pstatic.net/checkout.phinf/20251026_87/1761443555708JResF_JPEG/IMG_2690.jpeg?type=f300_300
5,ly****,2025.10.25,디자인: 🏆BEST🏆마블아이보리 / 두께 / 폭: 1.2cm/125cm / 길이: 200cm,이전에도 구매하고 마음에 들어서 또 구매했어요!!,https://phinf.pstatic.net/checkout.phinf/20251025_122/1761397168066VUrGs_JPEG/1000020453.jpg?type=f300_300
5,gkfl****,2025.10.25,디자인: 🔥HOT🔥퓨어아이보리 / 두께 / 폭: 1.2cm/110cm / 길이: 150cm,때 탈까봐 무섭지만 좋아요ㅎ,이미지 없음
5,gkfl****,2025.10.25,디자인: 🔥HOT🔥퓨어아이보리 / 두께 / 폭: 1.2cm/110cm / 길이: 900cm,생각보다 두껍고 푹신해요ㅎ,이미지 없음
4,gkfl****,2025.10.25,디자인: 🔥HOT🔥퓨어아이보리 / 두께 / 폭: 1.2cm/110cm / 길이: 200cm,굿굿 너무좋아요~~~~~!!,이미지 없음
