평점,작성자,작성일,구매옵션,리뷰내용,이미지URL
5,jjon*****,2025.10.27,색상: 모던그레이 / 두께 / 폭: 두께1.4cm / 폭110cm / 길이: 길이 50cm,돌돌 말려서 배송잘됏습니다 감사합니다,https://phinf.pstatic.net/checkout.phinf/20251027_154/1761547336043iOFoC_JPEG/KakaoTalk_20251027_121549479.jpg?type=f300_300
5,whgk****,2025.10.27,색상: 🏅BEST🏅 모던크림 / 두께 / 폭: 두께1cm / 폭110cm / 길이: 길이 300cm,"아기가 이제 앉고 기아다니기 시작하면서 머리쿵 해서 거실을 온통 깔았어요:)
넘 좋아오 !! 깔끔한거 좋아하는데 롤형이 딱이네요 1cm얇을 줄 알았는데 생각보다 두꺼워서 좋네요",https://phinf.pstatic.net/checkout.phinf/20251027_218/17615469725380gcEz_JPEG/tmp_6680545213571061125.jpg?type=f300_300
5,whdb******,2025.10.27,색상: 마블스톤 / 두께 / 폭: 두께2.4cm / 폭110cm / 길이: 길이 300cm,깔기 쉽고 좋아요 ~,https://phinf.pstatic.net/checkout.phinf/20251027_191/1761537421387SHdpr_JPEG/image.jpg?type=f300_300
5,to****,2025.10.27,색상: 모던그레이 / 두께 / 폭: 두께1.4cm / 폭110cm / 길이: 길이 50cm,"선택: 14mm 두께 (문간섭 없어서 좋음)

저희집은 애견매트로 시공했는데요 아주 대만족합니다. 
문간섭없으면 더 두꺼운거 하고 싶었는데 아쉬워요. 

👍 장점

가성비 최고: 라방 할인받으면 미터당 4천원 저렴해요
논슬립 확실: 안 밀려서 강아지 뛰어다녀도 안심
쫀득한 촉감: 얇은 라텍스 같은 느낌
청소 편함: 로봇청소기 잘 올라가고 먼지 머리카락 잘 빨아들여요
시공 쉬움: 칼로 자르기만 하면 돼요 (칼날 새 것 추천!)

👎 단점
테이프로 이음새 고정 필수 (안 그럼 벌어짐)
차가운 촉감이라 따듯하진않아요. 보일러 켜야해요. 그만큼 여름엔 쉬원하겠죠..?
진한 컬러가 없음 그래서 먼지가 잘보임",https://phinf.pstatic.net/image.nmv/shopnbuyer_2025_10_27_3606/ZMbJFzD5Ty_03.jpg?type=ffn300_300
5,nadn***,2025.10.27,색상: 아이보리우드 / 두께 / 폭: 두께1.4cm / 폭110cm / 길이: 길이 50cm,"서랍장 배치를 다시 하다보니 빈공간이 생겨서 또 주문해서 바로 깔았어요
기존에 사용하던 부분이랑 패턴도 똑같고 사용감때문에 색깔차이가 있을 뿐 전혀 이질감없어 보여요
늘 잘 사용하고 있습니다",https://phinf.pstatic.net/checkout.phinf/20251027_166/1761530927958Q7Brk_JPEG/2846.jpg?type=f300_300
5,lsg2***,2025.10.27,색상: 🏅BEST🏅 모던크림 / 두께 / 폭: 두께1.4cm / 폭110cm / 길이: 길이 700cm,원래쓰던 매트가 4cm라 너무 얕을까 걱정했는데 1.4cm도 충분하네요 :) 잘 쓰겠습니다!,https://phinf.pstatic.net/checkout.phinf/20251027_255/1761525704583zO3DY_JPEG/ECBAA1ECB298.JPG?type=f300_300
5,ppss****,2025.10.27,색상: 마블스톤 / 두께 / 폭: 두께1.4cm / 폭140cm / 길이: 길이 300cm,인테리어와도 잘 어울려서 늘 만족하며 사용하고 있습니다 :),https://phinf.pstatic.net/checkout.phinf/20251027_195/1761516582612NNxq7_JPEG/IMG_4970.jpeg?type=f300_300
5,ppss****,2025.10.27,색상: 🏅BEST🏅 라이트베이지 / 두께 / 폭: 두께3.4cm / 폭140cm / 길이: 길이 300cm,인테리어와도 잘 어울려서 늘 만족하며 사용하고 있습니다 :),https://phinf.pstatic.net/checkout.phinf/20251027_204/1761516442053EJ2mW_JPEG/IMG_4970.jpeg?type=f300_300
5,hote*****,2025.10.26,색상: 🏅BEST🏅 모던크림 / 두께 / 폭: 두께1.4cm / 폭110cm / 길이: 길이 400cm,좋아요 저렴함 제품과 역시 다릅니다,https://phinf.pstatic.net/checkout.phinf/20251026_119/1761481709463z4Pkw_JPEG/image.jpg?type=f300_300
5,yura*****,2025.10.26,색상: 🏅BEST🏅 라이트베이지 / 두께 / 폭: 두께2.4cm / 폭110cm / 길이: 길이 800cm,타사제품보다 정말 폭신해요! 12kg여아인데도 발망치 소리가 생각보다 쎄서 복도에 깔았는데 너무 만족합니다! 밤에도 걱정없이 놀게해줘요~ 혼낼일이 줄어드니 저도 아이도 맘이 편합니다^^ 남편이 검색 많이해보고 구매한건데 칭찬해줬어요!☺️👍,https://phinf.pstatic.net/checkout.phinf/20251026_161/1761479727925XmOlm_JPEG/IMG_1103.jpeg?type=f300_300
