Competitor,Design,Thickness_cm,Width_cm,Length_cm,Area_cm2,Volume_cm3,Price,Price_per_Volume,product_category,Product_Name,Height_cm,Size_Info,Option1,Option2,Option3
sove(임시),에어로드 롤매트,1.6,110.0,100.0,11000.0,17600.0,26900.0,1.5284090909090908,롤매트,,,,,,
따사룸,🏆🏆마블아이보리,1.2,110.0,100.0,11000.0,13200.0,25200.0,1.9090909090909092,롤매트,,,,,,
따사룸,🏆🏆마블아이보리,1.2,110.0,150.0,16500.0,19800.0,37800.0,1.9090909090909092,롤매트,,,,,,
따사룸,🏆🏆마블아이보리,1.2,110.0,200.0,22000.0,26400.0,50400.0,1.9090909090909092,롤매트,,,,,,
따사룸,🏆🏆마블아이보리,1.2,110.0,250.0,27500.0,33000.0,63000.0,1.9090909090909092,롤매트,,,,,,
따사룸,🏆🏆마블아이보리,1.2,110.0,300.0,33000.0,39600.0,75600.0,1.9090909090909092,롤매트,,,,,,
따사룸,🏆🏆마블아이보리,1.2,110.0,350.0,38500.0,46200.0,88200.0,1.9090909090909092,롤매트,,,,,,
따사룸,🏆🏆마블아이보리,1.2,110.0,400.0,44000.0,52800.0,100800.0,1.9090909090909092,롤매트,,,,,,
따사룸,🏆🏆마블아이보리,1.2,110.0,450.0,49500.0,59400.0,113400.0,1.9090909090909092,롤매트,,,,,,
따사룸,🏆🏆마블아이보리,1.2,110.0,500.0,55000.0,66000.0,126000.0,1.9090909090909092,롤매트,,,,,,
따사룸,🏆🏆마블아이보리,1.2,110.0,550.0,60500.0,72600.0,138600.0,1.9090909090909092,롤매트,,,,,,
따사룸,🏆🏆마블아이보리,1.2,110.0,600.0,66000.0,79200.0,151200.0,1.9090909090909092,롤매트,,,,,,
따사룸,🏆🏆마블아이보리,1.2,110.0,650.0,71500.0,85800.0,163800.0,1.9090909090909092,롤매트,,,,,,
따사룸,🏆🏆마블아이보리,1.2,110.0,700.0,77000.0,92400.0,176400.0,1.9090909090909092,롤매트,,,,,,
따사룸,🏆🏆마블아이보리,1.2,110.0,750.0,82500.0,99000.0,189000.0,1.9090909090909092,롤매트,,,,,,
따사룸,🏆🏆마블아이보리,1.2,110.0,800.0,88000.0,105600.0,201600.0,1.9090909090909092,롤매트,,,,,,
따사룸,🏆🏆마블아이보리,1.2,110.0,850.0,93500.0,112200.0,214200.0,1.9090909090909092,롤매트,,,,,,
따사룸,🏆🏆마블아이보리,1.2,110.0,900.0,99000.0,118800.0,226800.0,1.9090909090909092,롤매트,,,,,,
따사룸,🏆🏆마블아이보리,1.2,110.0,950.0,104500.0,125400.0,239400.0,1.9090909090909092,롤매트,,,,,,
따사룸,🏆🏆마블아이보리,1.2,110.0,1000.0,110000.0,132000.0,252000.0,1.9090909090909092,롤매트,,,,,,
