Competitor,Product_Name,Price,Width_cm,Height_cm,Area_cm2,Price_per_Volume,Thickness_cm,product_category,Size_Info,Option1,Option2,Option3
꼬망세,꼬망세 폴더매트 200x200,249000.0,200,200,40000,62250.0,0,폴더매트,200x200,항균더블클린매트,200x200,크림그레이
꼬망세,꼬망세 폴더매트 200x200,249000.0,200,200,40000,62250.0,0,폴더매트,200x200,항균더블클린매트,200x200,올크림
꼬망세,꼬망세 폴더매트 240x200,259000.0,240,200,48000,53958.333333333336,0,폴더매트,240x200,항균더블클린매트,240x200,크림그레이
꼬망세,꼬망세 폴더매트 240x200,259000.0,240,200,48000,53958.333333333336,0,폴더매트,240x200,항균더블클린매트,240x200,올크림
꼬망세,꼬망세 폴더매트 280x200,269000.0,280,200,56000,48035.71428571429,0,폴더매트,280x200,항균더블클린매트,280x200,크림그레이
꼬망세,꼬망세 폴더매트 280x200,269000.0,280,200,56000,48035.71428571429,0,폴더매트,280x200,항균더블클린매트,280x200,올크림
꼬망세,꼬망세 폴더매트 280x220,289000.0,280,220,61600,46915.58441558442,0,폴더매트,280x220,항균더블클린매트,280x220,크림그레이
꼬망세,꼬망세 폴더매트 280x220,289000.0,280,220,61600,46915.58441558442,0,폴더매트,280x220,항균더블클린매트,280x220,올크림
꼬망세,꼬망세 폴더매트 280x240,309000.0,280,240,67200,45982.14285714286,0,폴더매트,280x240,항균더블클린매트,280x240,크림그레이
꼬망세,꼬망세 폴더매트 280x240,309000.0,280,240,67200,45982.14285714286,0,폴더매트,280x240,항균더블클린매트,280x240,올크림
꼬망세,꼬망세 폴더매트 280x260,335000.0,280,260,72800,46016.48351648352,0,폴더매트,280x260,항균더블클린매트,280x260,올크림
꼬망세,꼬망세 폴더매트 280x280,359000.0,280,280,78400,45790.816326530614,0,폴더매트,280x280,항균더블클린매트,280x280,크림그레이
꼬망세,꼬망세 폴더매트 280x280,359000.0,280,280,78400,45790.816326530614,0,폴더매트,280x280,항균더블클린매트,280x280,올크림
꼬망세,꼬망세 폴더매트 280x320,379000.0,280,320,89600,42299.10714285714,0,폴더매트,280x320,항균더블클린매트,280x320,크림그레이
꼬망세,꼬망세 폴더매트 280x320,379000.0,280,320,89600,42299.10714285714,0,폴더매트,280x320,항균더블클린매트,280x320,올크림
꼬망세,꼬망세 폴더매트 140x200,135900.0,140,200,28000,48535.71428571429,0,폴더매트,140x200,항균클린매트,140x200,크림그레이
꼬망세,꼬망세 폴더매트 140x200,135900.0,140,200,28000,48535.71428571429,0,폴더매트,140x200,항균클린매트,140x200,올크림
꼬망세,꼬망세 폴더매트 140x240,158900.0,140,240,33600,47291.66666666667,0,폴더매트,140x240,항균클린매트,140x240,크림그레이
꼬망세,꼬망세 폴더매트 140x240,158900.0,140,240,33600,47291.66666666667,0,폴더매트,140x240,항균클린매트,140x240,올크림
꼬망세,꼬망세 폴더매트 140x280,178900.0,140,280,39200,45637.755102040814,0,폴더매트,140x280,항균클린매트,140x280,크림그레이
꼬망세,꼬망세 폴더매트 140x280,178900.0,140,280,39200,45637.755102040814,0,폴더매트,140x280,항균클린매트,140x280,올크림
꼬망세,꼬망세 폴더매트 110x200,125900.0,110,200,22000,57227.27272727272,0,폴더매트,110x200,(2단) 복도타입 항균클린매트,110x200,크림그레이
꼬망세,꼬망세 폴더매트 110x200,231800.0,110,200,22000,105363.63636363635,0,폴더매트,110x200,(2단) 복도타입 항균클린매트,110x200 ★1+1할인★,크림그레이
꼬망세,꼬망세 폴더매트 110x300,179000.0,110,300,33000,54242.42424242425,0,폴더매트,110x300,(3단) 복도타입 항균클린매트,110x300,크림그레이
꼬망세,꼬망세 폴더매트 110x300,329000.0,110,300,33000,99696.9696969697,0,폴더매트,110x300,(3단) 복도타입 항균클린매트,110x300 ★1+1할인★,크림그레이
아기,아기 폴더매트 100x200,86900.0,100,200,20000,43450.0,0,폴더매트,100x200,01. 폴더매트,01. 일반 4단 100×200,01. 퓨어라이트크림
