기본가격,옵션1,옵션2,옵션3,추가가격,최종가격
189000,,,,189000

,빅매트,아이보리,200 X 240,,189000
,빅매트,아이보리,200 X 280,10000,199000
,빅매트,아이보리,240 X 280,60000,249000
,빅매트,아이보리,280 X 300,110000,299000
,빅매트,크림베이지,200 X 240,,189000
,빅매트,크림베이지,200 X 280,10000,199000
,빅매트,크림베이지,240 X 280,60000,249000
,빅매트,크림베이지,280 X 300,110000,299000
,원매트,아이보리,70 X 160,-136500,52500
,원매트,아이보리,120 X 160,-116500,72500
,원매트,아이보리,140 X 200,-93500,95500
,원매트,아이보리,140 X 240,-76000,113000
,원매트,크림베이지,70 X 160,-136500,52500
,원매트,크림베이지,120 X 160,-116500,72500
,원매트,크림베이지,140 X 200,-93500,95500
,원매트,크림베이지,140 X 240,-76000,113000
,4단 폴더매트,아이보리(단색),70 X 160,-135400,53600
,4단 폴더매트,아이보리(단색),120 X 160,-110800,78200
,4단 폴더매트,아이보리(단색),140 X 200,-86100,102900
,4단 폴더매트,아이보리(단색),140 X 240,-70200,118800
,4단 폴더매트,아이보리+베이지(배색),70 X 160,-135400,53600
,4단 폴더매트,아이보리+베이지(배색),120 X 160,-110800,78200
,4단 폴더매트,아이보리+베이지(배색),140 X 200,-86100,102900
,4단 폴더매트,아이보리+베이지(배색),140 X 240 (품절),-70200,118800
,틈새 폴더매트,아이보리,40 X 70,-144500,44500
,틈새 폴더매트,아이보리,40 X 120,-131500,57500
,틈새 폴더매트,아이보리,40 X 140,-127500,61500
