기본가격,옵션1,옵션2,옵션3,추가가격,최종가격
10800,,,,,10800

,롤매트-아이보리,0.6cm(6T),폭 110cm x 50cm,,10800
,롤매트-아이보리,0.6cm(6T),폭 135cm x 50cm,2400,13200
,롤매트-아이보리,1cm(10T),폭 110cm x 50cm,1300,12100
,롤매트-아이보리,1cm(10T),폭 135cm x 50cm,3400,14200
,롤매트-라이트그레이,0.6cm(6T),폭 110cm x 50cm,,10800
,롤매트-라이트그레이,0.6cm(6T),폭 135cm x 50cm,2400,13200
,롤매트-라이트그레이,1cm(10T),폭 110cm x 50cm,1300,12100
,롤매트-라이트그레이,1cm(10T),폭 135cm x 50cm,3400,14200
,롤매트-다크그레이,0.6cm(6T),폭 110cm x 50cm,,10800
,롤매트-다크그레이,0.6cm(6T),폭 135cm x 50cm,2400,13200
,롤매트-다크그레이,1cm(10T),폭 110cm x 50cm,1300,12100
,롤매트-다크그레이,1cm(10T),폭 135cm x 50cm,3400,14200
