평점,작성자,작성일,구매옵션,리뷰내용,이미지URL
"5","dbtn*****","2025-07-23","타입-색상: 롤매트-라이트그레이 / 두 께: 1cm(10T) / 매트 - 폭x길이: 폭 135cm x 50cm","산것중에 젤 맘에드네요
많이 파세요","이미지 없음"
"3","bell****","2025-07-22","타입-색상: 롤매트-라이트그레이 / 두 께: 1cm(10T) / 매트 - 폭x길이: 폭 110cm x 50cm","우리애기가  좋아하네요~","https://phinf.pstatic.net/checkout.phinf/20250722_47/1753189534540RH5do_JPEG/image.jpg?type=f300_300"
"5","moon***","2025-07-22","타입-색상: 롤매트-다크그레이 / 두 께: 0.6cm(6T) / 매트 - 폭x길이: 폭 110cm x 50cm","사용하던 롤 매트를 3년 이상 사용했어서 이번에 새로 주문했어요.
앞번에 썼던 매트는 밝은 색이라서 깨끗하고 깔끔해서 좋았는데 오래 쓰게되니 얼룩이 생기고 많이 지저분해져서 이번에는 좀 어두운 컬러로 사야겠다라고 맘먹었는데 마침 딩굴패드가 진한 컬러가 있어서 마음에 들었고 매트에 얼룩이 묻었을 때에 수월하게 닦을수 있게 청소가 편리한 쪽으로 무늬의 홈이 너무 올록볼록 깊게 굴곡있게 파여 있는 디자인은 피했어요. 
거실크기에 맞게 한장으로 길게 주문 제작도 가능해서
여러모로 마음에 들어서
바로 결정하고 주문했어요.
0.6cm로 주문했는데 들뜸 없이 바닥에 착 펼쳐져서 밀림도 없고 아주 안정적이네요
처음이라 살짝 끈적이는 느낌이 있는데 새 상품이라서 그렇겠지요~
다음에 주문할 때는 1센치로 주문 해보려고 해요.
선풍기 놨던 자국도 복원 잘되고
11살에 접어든 아이라...갈수록 관절건강이 걱정이었는데 매트 깔아주니 잘 다녀요.^^
걸어보니 발바닥이 편해져서 저도 좋구요.
깔아놓으니 아주 깔끔해요
결정 잘한것 같아서 마음이 놓여요~
잘 사욤해볼게요~","https://phinf.pstatic.net/checkout.phinf/20250722_99/17531837648084Jb6I_JPEG/1000107840.jpg?type=f300_300"
"5","moon***","2025-07-22","타입-색상: 롤매트-다크그레이 / 두 께: 0.6cm(6T) / 매트 - 폭x길이: 폭 135cm x 50cm","사용하던 롤 매트를 3년 이상 사용했어서 이번에 새로 주문했어요.
앞번에 썼던 매트는 밝은 색이라서 깨끗하고 깔끔해서 좋았는데 오래 쓰게되니 얼룩이 생기고 많이 지저분해져서 이번에는 좀 어두운 컬러로 사야겠다라고 맘먹었는데 마침 딩굴패드가 진한 컬러가 있어서 마음에 들었고 매트에 얼룩이 묻었을 때에 수월하게 닦을수 있게 청소가 편리한 쪽으로 무늬의 홈이 너무 올록볼록 깊게 굴곡있게 파여 있는 디자인은 피했어요. 
거실크기에 맞게 한장으로 길게 주문 제작도 가능해서
여러모로 마음에 들어서
바로 결정하고 주문했어요.
0.6cm로 주문했는데 들뜸 없이 바닥에 착 펼쳐져서 밀림도 없고 아주 안정적이네요
처음이라 살짝 끈적이는 느낌이 있는데 새 상품이라서 그렇겠지요~
다음에 주문할 때는 1센치로 주문 해보려고 해요.
선풍기 놨던 자국도 복원 잘되고
11살에 접어든 아이라...갈수록 관절건강이 걱정이었는데 매트 깔아주니 잘 다녀요.^^
걸어보니 발바닥이 편해져서 저도 좋구요.
결정 잘한것 같아서 마음이 놓여요~
잘 사욤해볼게요~","https://phinf.pstatic.net/checkout.phinf/20250722_286/1753183689899lDRDB_JPEG/1000107840.jpg?type=f300_300"
"5","yjmo*****","2025-07-22","타입-색상: 롤매트-아이보리 / 두 께: 0.6cm(6T) / 매트 - 폭x길이: 폭 110cm x 50cm","생각보다 너무 좋네요 질문에 답변도 즉각 주시고 넘 감사했어요~^^","https://phinf.pstatic.net/checkout.phinf/20250722_255/1753180248465XQDzQ_JPEG/1000016424.jpg?type=f300_300"
"5","elgr*****","2025-07-22","타입-색상: 롤매트-라이트그레이 / 두 께: 0.6cm(6T) / 매트 - 폭x길이: 폭 135cm x 50cm","잘쓰고 있습니다. )))","https://phinf.pstatic.net/checkout.phinf/20250722_130/1753161353746sc4aJ_JPEG/KakaoTalk_20241028_102521014.jpg?type=f300_300"
"5","elgr*****","2025-07-22","타입-색상: 롤매트-라이트그레이 / 두 께: 0.6cm(6T) / 매트 - 폭x길이: 폭 110cm x 50cm","연로한 강아지를 위해 점차 온집에 깔았어요. 그런데 이젠 너무 다리에 힘이 없어서 여기서도 좀 미끄러지긴 합니다. ㅜ","https://phinf.pstatic.net/checkout.phinf/20250722_23/1753161198843Hpwmw_JPEG/KakaoTalk_20241028_102521014.jpg?type=f300_300"
"4","days******","2025-07-22","타입-색상: 롤매트-아이보리 / 두 께: 0.6cm(6T) / 매트 - 폭x길이: 폭 110cm x 50cm","미끄럼 방지도 잘 되고 튼튼해서 너무 좋아요 
우리 아이들이 안심하고 뛰어놀아서 마음이 편합니다","이미지 없음"
"5","khu0***","2025-07-22","타입-색상: 롤매트-아이보리 / 두 께: 1cm(10T) / 매트 - 폭x길이: 폭 110cm x 50cm","자세한 후기는 아래 내용 참고하세용~","https://phinf.pstatic.net/checkout.phinf/20250722_232/1753147808911vVKJg_JPEG/1000009429.jpg?type=f300_300"
"5","khu0***","2025-07-22","타입-색상: 롤매트-아이보리 / 두 께: 1cm(10T) / 매트 - 폭x길이: 폭 135cm x 50cm","7mm로 전체 깔고 쓰다가 이사와서 10mm로 또 주문했습니다. 팬트리 문에 걸려서 밑에 뜯어내서 높이 맞추느랴 고생했지만 여기 제품이 가장 가성비가 좋습니다.
아기랑 멍멍이 둘다 안전하게 지킬수 있어서 좋아요. 
이음부는 하단에 테이핑 하시고 서로 땡겨서 붙히면 상단에 안해도 됩니다. 더러워지면 스팀으로 조지면 깨끗해집니다.","https://phinf.pstatic.net/checkout.phinf/20250722_65/1753147663381zB4ma_JPEG/1000009429.jpg?type=f300_300"
