평점,작성자,작성일,구매옵션,리뷰내용,이미지URL
"4","alsk******","2025-07-23","디자인 선택: 그레이캔버스 / 두께(폭): 6mm(폭110cm) / 길이(수량추가): 50cm","여러번 주문해서 잘쓰고있어요","https://phinf.pstatic.net/checkout.phinf/20250723_19/1753247626420biM1f_JPEG/1753247619124.jpg?type=f300_300"
"4","alsk******","2025-07-23","디자인 선택: 그레이캔버스 / 두께(폭): 6mm(폭110cm) / 길이(수량추가): 50cm","이사하면서 여러차례 주문했어요","https://phinf.pstatic.net/checkout.phinf/20250723_176/1753247278928yXw1O_JPEG/1753247261722.jpg?type=f300_300"
"5","qq0v***","2025-07-23","디자인 선택: 마블아이보리 / 두께(폭): 6mm(폭140cm) / 길이(수량추가): 50cm","편하게 잘 걸어 다녀서 안심이 되네요.","https://phinf.pstatic.net/checkout.phinf/20250723_75/1753247210717snrwc_JPEG/1000092285.jpg?type=f300_300"
"5","qq0v***","2025-07-23","디자인 선택: 마블아이보리 / 두께(폭): 6mm(폭110cm) / 길이(수량추가): 50cm","확실히 매트 깔아 놓으니 울강쥐가 미끄러지는 일이 없어서 안심이 되네요.색상도 튀거나 그러디 않아서 매치가 잘 되네요.","https://phinf.pstatic.net/checkout.phinf/20250723_291/1753247075476UEGvP_JPEG/1000092283.jpg?type=f300_300"
"5","sens*****","2025-07-23","디자인 선택: 마블아이보리 / 두께(폭): 6mm(폭125cm) / 길이(수량추가): 50cm","댕댕이가 미끄러워해서 샀어요 ㅎㅎ
하나 더 사야겠어요~^^ 만족합니당","https://phinf.pstatic.net/checkout.phinf/20250723_26/17532314964482LUJ6_JPEG/IMG_0632.jpeg?type=f300_300"
"5","wltn****","2025-07-22","디자인 선택: 그레이캔버스 / 두께(폭): 9mm(폭125cm) / 길이(수량추가): 50cm","며칠차이안니게 또시켰는데 색이미묘하게달라요","https://phinf.pstatic.net/checkout.phinf/20250722_211/1753191757634IOasV_JPEG/image.jpg?type=f300_300"
"5","yeo2***","2025-07-21","디자인 선택: 마블아이보리 / 두께(폭): 6mm(폭125cm) / 길이(수량추가): 50cm","거실 매트를 바꾸려고 하다보니 강아지도 키우고 해서 정말 많은 업체를 알아봤어요 금액이 그냥 쿠x에서 일체형으로 파는것들보다 비싼매트라서 손품을 열심히 팔았는데요 기존 매트는 오래쓰다보니 냄새가 베어서 이번엔 좀 좋은걸로 바꾸자했어요. 게다가 오래쓰면 구멍나고 애들 발톱에 찍혀서 뜯기면 강아지가 뜯고 놀더라고요ㅠ 금액도 실속있지만 품질도 꼼꼼히 따져 보았을때 이 제품이 나쁘지 않겠다 싶었어요. 사이즈는 제가 요청한것보다 좀 더 넉넉하게 왔고 어차피 잘라서 써야했어서 크게 문제될건 없었어요 확실히 기존에 쓰던 싼 일체형 매트보다는 소변대변이 잘 닦아진다는점과 친환경재질이라 좋았고 냄새도 안났어요. 무거운 물건을 지속적으로 놓았다가 옮겼을때 자국은 어쩔수 없지만 처음엔 변형이 크게 보이다가 시간이 지나면 어느정도 복구가 되더라고요 특히나 가장 좋은점은 이 매트를 딱 깔아두자마자 강아지들이 너무 좋은지 계속 뛰어다니고 부비고 엄청 좋아하더라고요. 비숑두마리라 비숑타임이 오면 막뛰어다니는데  매트있는 부분에서는 미끄러지지 않고 바로 바닥에서는 미끄러짐에 확연한 차이가 있어요. 여름엔 시원하고 겨울엔 단열이 된다니 더 좋지 않을까요 ? 우선 저는 너뮤 만족스럽게 사용하고 있고요. 청소기는 아직 안돌려봐서 바퀴가 잘 굴러가는지는 아직 모르지만 색상도 저희거실과 잘 맞아서 고급스럽고 집이 밝아보여 좋습니다ㅎㅎ","https://phinf.pstatic.net/checkout.phinf/20250721_91/1753062846074nuELV_JPEG/IMG_8283.jpeg?type=f300_300"
"3","sm****","2025-07-20","디자인 선택: 마블아이보리 / 두께(폭): 6mm(폭140cm) / 길이(수량추가): 50cm","제가 주문을 잘못해서 작은게 왔어요 ^^;
당황스러움","https://phinf.pstatic.net/checkout.phinf/20250720_113/1752996594403PF8wS_JPEG/image.jpg?type=f300_300"
"5","thqu*******","2025-07-20","디자인 선택: 마블아이보리 / 두께(폭): 9mm(폭110cm) / 길이(수량추가): 50cm","스윙도어잘열리고 강아지들 안미끄러지고조아요","https://phinf.pstatic.net/checkout.phinf/20250720_187/1752987028718PtoST_JPEG/1000008237.jpg?type=f300_300"
"4","heli****","2025-07-20","디자인 선택: 마블아이보리 / 두께(폭): 6mm(폭140cm) / 길이(수량추가): 50cm","방수와 논슬립이 가장 큰 장점
진공청소기 안밀림과 물기 잘 안마르는건 단점","이미지 없음"
"5","igbt***","2025-07-19","디자인 선택: 마블아이보리 / 두께(폭): 6mm(폭110cm) / 길이(수량추가): 50cm","강아지 매트 깔아 놓았더니 우리집 강아지가 미끄러지지 않고 잘걸어요~","이미지 없음"
"5","jnmo****","2025-07-19","디자인 선택: 마블아이보리 / 두께(폭): 6mm(폭140cm) / 길이(수량추가): 50cm","아주 마음에 듭니다. 시공도 간편합니다. 많이 버세요.","https://phinf.pstatic.net/checkout.phinf/20250719_108/1752903010111ryQ9H_JPEG/IMG_1228.jpeg?type=f300_300"
"5","atta*****","2025-07-18","디자인 선택: 비글퍼피 / 두께(폭): 6mm(폭110cm) / 길이(수량추가): 50cm","배송 빠르고 제품 너무 좋아요 강아지가 마음껏 뛰어 다녀도 미끄러지거나 넘어지거나 그런거 없어요 사람에게도 아랫집 층간소음 걱정 없어요","https://phinf.pstatic.net/checkout.phinf/20250718_229/1752801867716ADfD4_JPEG/KakaoTalk_20250619_111510162_06.jpg?type=f300_300"
"5","nini****","2025-07-17","디자인 선택: 소프트그레이 / 두께(폭): 6mm(폭110cm) / 길이(수량추가): 50cm","생각했던것보다 질이 더 좋은 느낌이예요
이정도 사이즈 구매하려면 10맘원 기본인에 가격도 좋구오","https://phinf.pstatic.net/checkout.phinf/20250717_108/1752750423824kVTmS_JPEG/IMG_3888.jpeg?type=f300_300"
