평점,작성자,작성일,구매옵션,리뷰내용,이미지URL
"5","ohre****","2025-07-23","디자인: 그레이 / 두께: 9T(9mm) / 사이즈: 140cm x 1m","아이보리 구매했었는데 강아지가 뜯어서 그레이로 새로 구입했어용
처음 깔 때 특유의 냄새는 나지만 이후에는 나지 않고 환경 호르몬 걱정 없어서 좋아요. 때 타는 거 조심 ㅠㅠ!","https://phinf.pstatic.net/checkout.phinf/20250723_2/17532409912888DV85_JPEG/IMG_5825.jpeg?type=f300_300"
"5","omrd*****","2025-07-22","디자인: 마블 화이트 / 두께: 9T(9mm) / 사이즈: 110cm x 1m","쓰던게 몇년되니까 지저분해져서 똑같은걸로 다시구매했어요 깔끔하고좋네요","https://phinf.pstatic.net/checkout.phinf/20250722_147/1753165270296bwEi8_JPEG/1753165223405.jpg?type=f300_300"
"5","jang*******","2025-07-21","디자인: 크림캔버스 / 두께: 15T(1.5cm) / 사이즈: 140cm x 1m","두껍고 재질도 고급스러워요","https://phinf.pstatic.net/checkout.phinf/20250721_157/1753098158552jkUF2_JPEG/1000022016.jpg?type=f300_300"
"5","dmsd******","2025-07-19","디자인: 아이보리 캔버스 / 두께: 9T(9mm) / 사이즈: 110cm x 1m","강아지가 노견이 되니 걱정이 되던 찰나에 여러곳 비교해보고 주문했어요! 잘 쓰겠습니다~","https://phinf.pstatic.net/checkout.phinf/20250719_164/1752926643695TlfHR_JPEG/1752926620994.jpg?type=f300_300"
"5","choi*******","2025-07-19","디자인: 크림캔버스 / 두께: 9T(9mm) / 사이즈: 140cm x 1m","기대이상 맠족합키다","https://phinf.pstatic.net/checkout.phinf/20250719_163/1752915241268lWGsj_JPEG/image.jpg?type=f300_300"
"5","choi*******","2025-07-19","디자인: 크림캔버스 / 두께: 9T(9mm) / 사이즈: 110cm x 1m","기대이상입니다! 만족해요","https://phinf.pstatic.net/checkout.phinf/20250719_104/1752915212294yqH81_JPEG/image.jpg?type=f300_300"
"5","aa****","2025-07-19","디자인: 마블 아이보리 / 두께: 9T(9mm) / 사이즈: 110cm x 1m","쿠*에서 7개(2m) 사고 여기서 추가구매했어요. 네이버에도 판매하는지 알았으면 진즉 여기서 구매했을텐데 아쉽네요. 제픔은 정말 만족합니다. 무엇보다 무독성이라 안심이 되구요, 8개월 정도 사용했는데 아직도 새 것 같습니다.
우리 아기의 슬개골은 소중하니까 꼭 지켜주고 싶네요 ㅎㅎ","https://phinf.pstatic.net/checkout.phinf/20250719_36/1752892092339eglbw_JPEG/1752892073974.jpg?type=f300_300"
"5","kyar***","2025-07-18","디자인: 마블 화이트 / 두께: 15T(1.5cm) / 사이즈: 140cm x 1m","패드 재구매했어요 원룸에선 딱맞았는데 아파트에서 쓸때는 아무래도 많이 사야할거같아요","https://phinf.pstatic.net/checkout.phinf/20250718_288/1752849934706Sp6Um_JPEG/IMG_8401.jpeg?type=f300_300"
"5","kyar***","2025-07-18","디자인: 마블 화이트 / 두께: 9T(9mm) / 사이즈: 110cm x 1m","패드 재구매했어요 원룸에선 딱맞았는데 아파트에서 쓸때는 아무래도 많이 사야할거같아요","https://phinf.pstatic.net/checkout.phinf/20250718_297/1752849866513hqYt8_JPEG/IMG_8401.jpeg?type=f300_300"
"5","tusc*******","2025-07-18","디자인: 아이보리 캔버스 / 두께: 9T(9mm) / 사이즈: 110cm x 1m","쿠션도 좋고 미끄럼방지도 나름 괜찮아요","https://phinf.pstatic.net/checkout.phinf/20250718_284/1752848122446F1X90_JPEG/A829483E8F5B_20250714092404604_cam0.jpeg?type=f300_300"
"5","tusc*******","2025-07-18","디자인: 아이보리 캔버스 / 두께: 9T(9mm) / 사이즈: 140cm x 1m","냄새도 안나고 쿠션감도 좋고 만족하며 사용하고있습니다","https://phinf.pstatic.net/checkout.phinf/20250718_122/1752848054636cjsyI_JPEG/IMG_8333.jpeg?type=f300_300"
