평점,작성자,작성일,구매옵션,리뷰내용,이미지URL
"5","qkjh****","2025-07-22","폭/길이: 110cm폭/1M / 색상/두께: 베이지테라조/9mm(리뉴얼)","두번째 구매입니다 튼튼하게 잘사용중이에요!","이미지 없음"
"5","jjam***","2025-07-21","폭/길이: 135cm폭/1M / 색상/두께: 마블화이트/9mm(리뉴얼)","강아지 매트가 필요해서 구매햇어요 잘쓰겟습니다","이미지 없음"
"5","jjam***","2025-07-21","폭/길이: 135cm폭/1M / 색상/두께: 마블화이트/9mm(리뉴얼)","강아지 매트 구매할때가 되서 구매햇어요","이미지 없음"
"5","hees******","2025-07-20","폭/길이: 110cm폭/1M / 색상/두께: 베이지테라조/9mm(리뉴얼)","사용하고 추가주문 햇어요 에코폼 몇년전이 리뉴얼 전때 삿엇는데 그 모양은 품절이라 아쉬웟는데 약간 톤다운된 색으로 출시됫네요 ㅎ","https://phinf.pstatic.net/checkout.phinf/20250720_88/1753011681539eNU6z_JPEG/IMG_5075.jpeg?type=f300_300"
"5","hees******","2025-07-20","폭/길이: 110cm폭/1M / 색상/두께: 베이지테라조/9mm(리뉴얼)","댕댕이도 왓다갓다해서 친정집에 다 깔앗는데 너무 좋아하세요 예전 전 리뉴얼때는 미끄러움이 없엇는데 이번엔 살짝 잇어요 근데 사용하다보면 무뎌질거같아요 ㅎㅎ","https://phinf.pstatic.net/checkout.phinf/20250720_31/1753011630508mmxzp_JPEG/IMG_5075.jpeg?type=f300_300"
"4","taeg*****","2025-07-19","폭/길이: 135cm폭/1M / 색상/두께: 마블화이트/9mm(리뉴얼)","생각보다 미끄러워요","이미지 없음"
"5","sjwe*****","2025-07-18","폭/길이: 135cm폭/1M / 색상/두께: 심플크림/15mm(리뉴얼)","제품 좋아요 감사합니다","https://phinf.pstatic.net/checkout.phinf/20250718_20/1752817316027fAAeU_JPEG/image.jpg?type=f300_300"
"5","ense******","2025-07-18","폭/길이: 135cm폭/1M / 색상/두께: 심플크림/9mm(리뉴얼)","오염이 잘 닦여요. 전에 스던 매트는 박박 문질러 닦았다면, 지금은 슥슥 닦입니다.","이미지 없음"
"5","ense******","2025-07-18","폭/길이: 135cm폭/1M / 색상/두께: 심플크림/9mm(리뉴얼)","강아지 덕분에,  거실 슬리퍼를 벗게 되었네요
왜냐하면 폭신폭신 하니까요^^","이미지 없음"
"5","swoo****","2025-07-15","폭/길이: 110cm폭/1M / 색상/두께: 베이지테라조/9mm(리뉴얼)","두껍지만 가벼워서 좋아요","이미지 없음"
"5","swoo****","2025-07-15","폭/길이: 135cm폭/1M / 색상/두께: 베이지테라조/9mm(리뉴얼)","두번째  구매입니다  너무 좋아요","이미지 없음"
"4","hope*******","2025-07-13","폭/길이: 135cm폭/1M / 색상/두께: 심플크림/9mm(리뉴얼)","배송도 빠르고 좋아요 ㅎ 받았을때 오염된 부분이 살짝있었지만 감안하고 써요
멍멍이들도 마음에 들어하는 것 같아요 !!","https://phinf.pstatic.net/checkout.phinf/20250713_142/1752418755713u6Utn_JPEG/IMG_2568.jpeg?type=f300_300"
"5","0116****","2025-07-12","폭/길이: 135cm폭/1M / 색상/두께: 마블화이트/9mm(리뉴얼)","강아지가 잘 뛰어다녀서 좋아요","https://phinf.pstatic.net/checkout.phinf/20250712_110/1752281634946Bhayf_JPEG/image.jpg?type=f300_300"
"5","0116****","2025-07-12","폭/길이: 110cm폭/1M / 색상/두께: 마블화이트/9mm(리뉴얼)","강아지가 신나게 뛰어 놀아서 좋아요","https://phinf.pstatic.net/checkout.phinf/20250712_170/1752281597692e5FCy_JPEG/image.jpg?type=f300_300"
"5","rads*****","2025-07-11","폭/길이: 135cm폭/1M / 색상/두께: 베이지테라조/9mm(리뉴얼)","고양이 우다다할때도 미끄러지지 않고 만족해요!
거실꺼 추가로 주문하려구요~","https://phinf.pstatic.net/checkout.phinf/20250711_93/1752240780191Q73KP_JPEG/IMG_2526.jpeg?type=f300_300"
"5","bell*******","2025-07-10","폭/길이: 110cm폭/1M / 색상/두께: 베이지테라조/9mm(리뉴얼)","한달 지났지만 아주 잘 사용하고 만족합니다. 
구 디자인 제품도 같이 쓰고있는데
개인적으로 신규로 교체해준 소재가 청소가 더 용이한거 같아용","https://phinf.pstatic.net/checkout.phinf/20250710_214/1752130233177xbq8q_JPEG/image.jpg?type=f300_300"
"5","swoo****","2025-07-09","폭/길이: 110cm폭/1M / 색상/두께: 베이지테라조/9mm(리뉴얼)","푹신하고   제질도 좋아요","이미지 없음"
"5","swoo****","2025-07-09","폭/길이: 135cm폭/1M / 색상/두께: 베이지테라조/9mm(리뉴얼)","두껍고  좋아요 굳궂","이미지 없음"
"5","diad******","2025-07-08","폭/길이: 135cm폭/1M / 색상/두께: 심플크림/9mm(리뉴얼)","만족하면서 쓰고있어요 ◡̈","https://phinf.pstatic.net/checkout.phinf/20250708_256/1751973096616euIOo_JPEG/image.jpg?type=f300_300"
"5","rhks*******","2025-07-07","폭/길이: 110cm폭/1M / 색상/두께: 마블화이트/9mm(리뉴얼)","인테리어 한김에 전에 쓰던 매트 철거하고 새걸로 깔아주니까
평소에 잘 안웃던 애가 돈 쓰니까 웃어서 좀 짜증나면서 웃기네요 
여태 썻던 매트 중에 베스트인거 같아요","https://phinf.pstatic.net/checkout.phinf/20250707_10/1751854823383TdzMK_JPEG/KakaoTalk_20250707_111653138.jpg?type=f300_300"
"5","rhks*******","2025-07-07","폭/길이: 135cm폭/1M / 색상/두께: 마블화이트/9mm(리뉴얼)","인테리어 한김에 전에쓰던 매트 철거하고 새걸로 깔아주니까
평소에 잘 안웃던 애가 돈 쓰니까 웃어서 좀 짜증나면서 웃기네요 
여태 썻던 매트중에 베스트인거같아요","https://phinf.pstatic.net/checkout.phinf/20250707_141/1751854790170IwOxW_JPEG/KakaoTalk_20250707_111653138.jpg?type=f300_300"
"5","1004******","2025-07-06","폭/길이: 110cm폭/1M / 색상/두께: 베이지테라조/15mm(리뉴얼)","또 구매해요 좋네요","이미지 없음"
"5","3601*****","2025-07-02","폭/길이: 110cm폭/1M / 색상/두께: 베이지테라조/9mm(리뉴얼)","18세 노견 우리 맥스 잘 멋 걸어서 구매했어요.","https://phinf.pstatic.net/checkout.phinf/20250702_8/1751461303332JQe9d_JPEG/image.jpg?type=f300_300"
"5","dldu******","2025-07-02","폭/길이: 110cm폭/1M / 색상/두께: 마블화이트/15mm(리뉴얼)","가성비좋아요 최고입니다","이미지 없음"
"5","dktj****","2025-07-02","폭/길이: 135cm폭/1M / 색상/두께: 베이지테라조/15mm(리뉴얼)","어떤지 볼려고 구매했는데 좋네요 
사이즈 재고 구매 해야겠어요!!","https://phinf.pstatic.net/checkout.phinf/20250702_20/1751441216067AAAt4_JPEG/20250702_162451.jpg?type=f300_300"
"5","db05****","2025-07-02","폭/길이: 110cm폭/1M / 색상/두께: 심플크림/9mm(리뉴얼)","배송 빠르고 푹신해서 좋아요 안 미끌ᆢ지고청소하기도 좋아용","이미지 없음"
"5","mjli****","2025-06-30","폭/길이: 135cm폭/1M / 색상/두께: 심플크림/9mm(리뉴얼)","이전에도 썼었고 이사하면서 새로 샀어요.
마루랑 색도비슷하고 좋아요. 강추입니다!!","https://phinf.pstatic.net/checkout.phinf/20250630_5/1751272940323kG4eo_JPEG/1751272932468.jpg?type=f300_300"
"5","yoon*****","2025-06-29","폭/길이: 135cm폭/1M / 색상/두께: 마블화이트/9mm(리뉴얼)","아이가 좋아하고 색상도 이쁘고 아이 관절에 좋아요","https://phinf.pstatic.net/checkout.phinf/20250629_232/1751205497513Vf7j7_JPEG/1000006903.jpg?type=f300_300"
"5","appo***","2025-06-29","폭/길이: 110cm폭/1M / 색상/두께: 마블화이트/9mm(리뉴얼)","애들 안 미끄러지니깐  좋아요 만족해요♡","https://phinf.pstatic.net/checkout.phinf/20250629_65/17512009374700bjTu_JPEG/20250621_103514.jpg?type=f300_300"
"5","golf******","2025-06-28","폭/길이: 135cm폭/1M / 색상/두께: 마블화이트/9mm(리뉴얼)","잘쓰고 있어요 오염되면 또 재구매할꺼에요","https://phinf.pstatic.net/checkout.phinf/20250628_127/1751119461916CPYGp_JPEG/1751119441635.jpg?type=f300_300"
"5","golf******","2025-06-28","폭/길이: 135cm폭/1M / 색상/두께: 마블화이트/9mm(리뉴얼)","잘쓰고 있어요~ 좋아요","https://phinf.pstatic.net/checkout.phinf/20250628_131/1751119369364bQt8J_JPEG/1751119356492.jpg?type=f300_300"
"5","93mi*****","2025-06-28","폭/길이: 110cm폭/1M / 색상/두께: 심플크림/9mm(리뉴얼)","생각보다 좀 작긴 해요","https://phinf.pstatic.net/checkout.phinf/20250628_78/175111387350201ro7_JPEG/image.jpg?type=f300_300"
"5","zhff******","2025-06-28","폭/길이: 110cm폭/1M / 색상/두께: 심플크림/9mm(리뉴얼)","복도랑 거실에 다 깔아줬어요 안미끄러지고 좋아요 물어뜯지도 않고 참 다행..ㅋㅋㅋ","https://phinf.pstatic.net/checkout.phinf/20250628_13/175108077538686Fle_JPEG/17510807560549033271599800906449.jpg?type=f300_300"
"5","zlim***","2025-06-26","폭/길이: 135cm폭/1M / 색상/두께: 마블화이트/9mm(리뉴얼)","매트 품질도 좋고, 미끄러지지않아 좋습니다","이미지 없음"
"5","dlqu*******","2025-06-26","폭/길이: 110cm폭/1M / 색상/두께: 베이지테라조/9mm(리뉴얼)","한달 이상 사용중인데 청소하기도 편하고 끝부분이 말린다는 후기가 있던데 저는 말리는거 없이 잘쓰고있습니다 강아지가 뛰어다녀도 미끄러지지않고 좋습니다 만족합니다","이미지 없음"
