평점,작성자,작성일,구매옵션,리뷰내용,이미지URL
"2","vnd3***","2025-07-22","색상: 아이보리우드 / 두께 / 폭: 두께1.4cm / 폭110cm / 길이: 길이 50cm","두꺼워서 푹신하긴한데 하루밖에안지났는데도 발찍힘같은게 너무 약하네요","https://phinf.pstatic.net/checkout.phinf/20250722_210/1753163828838UPpL1_JPEG/IMG_0022.jpeg?type=f300_300"
"5","chgm*****","2025-07-22","색상: 🏅BEST🏅 모던크림 / 두께 / 폭: 두께1cm / 폭140cm / 길이: 길이 50cm","저희집 댕댕이가 너무 잘쓰고 있어요.
발톱으로 긁어도 스크래치도없고 아주 좋습니다 강 추에요","https://phinf.pstatic.net/checkout.phinf/20250722_246/1753153064852vC9Oh_JPEG/1000008497.jpg?type=f300_300"
"5","make********","2025-07-22","색상: 🏅BEST🏅 모던크림 / 두께 / 폭: 두께1cm / 폭110cm / 길이: 길이 50cm","강아지 거의 안 미끄러지고 좋아요","이미지 없음"
"5","make********","2025-07-22","색상: 🏅BEST🏅 모던크림 / 두께 / 폭: 두께1cm / 폭110cm / 길이: 길이 50cm","지금까지도 잘 쓰고 있습니다","이미지 없음"
"5","make********","2025-07-22","색상: 🏅BEST🏅 모던크림 / 두께 / 폭: 두께1cm / 폭110cm / 길이: 길이 50cm","잘 쓰고 있습니다. 배송이 조금 걸리긴 했어요","이미지 없음"
"5","hank******","2025-07-21","색상: 아이보리우드 / 두께 / 폭: 두께1.4cm / 폭140cm / 길이: 길이 50cm","거실에 깔고 한달 사용했는데 만족스럽습니다!! 강쥐 한눈 판 사이에 소파에서 순간적으로 홀짝 뛰었는데 다행히 매트를 깔아 놓아서 부상은 없었어요.. 휴.. 가족들 외출후 집에 오면 복도로 뛰어오면 마중나와 ㅎㅎ 복도용으로 추가 구매갑니다!! 많이 파세요 ~","이미지 없음"
"5","sue6***","2025-07-21","색상: 🏅BEST🏅 모던크림 / 두께 / 폭: 두께1cm / 폭110cm / 길이: 길이 50cm","사용하고있는데 생각보다 크기가 작아요 대신 강아지가 미끄러지지않아서 다행이고 좋은것같아요","이미지 없음"
"5","fks1***","2025-07-21","색상: 🏅BEST🏅 모던크림 / 두께 / 폭: 두께1cm / 폭110cm / 길이: 길이 50cm","소음예방 너무좋아요 현관에 붙일수있는 안내스티커도 줘서 좋습니당","https://phinf.pstatic.net/checkout.phinf/20250721_271/1753060729120a95xp_JPEG/IMG_6281.jpeg?type=f300_300"
"5","fks1***","2025-07-21","색상: 🏅BEST🏅 모던크림 / 두께 / 폭: 두께1cm / 폭140cm / 길이: 길이 50cm","눌린자국은 제거안되는거같은데 일단 강아지들한테 너무좋은것같고 층간소음배려도되서 너무좋습니당","https://phinf.pstatic.net/checkout.phinf/20250721_122/1753060685495YWyM0_JPEG/IMG_6259.jpeg?type=f300_300"
"5","cidn*****","2025-07-20","색상: 🏅BEST🏅 모던크림 / 두께 / 폭: 두께1cm / 폭110cm / 길이: 길이 50cm","중간 펜트리 때문에 1cm가 두께가 필요했는디 딱이여요","https://phinf.pstatic.net/checkout.phinf/20250720_192/1752972546904Hp2g7_JPEG/1752972538688.jpg?type=f300_300"
