평점,작성자,작성일,구매옵션,리뷰내용,이미지URL
"5","hc****","2025-07-29","색상: 바닐라아이보리 / (두께)사이즈: (25mm) 100x100 1장","좋은제품 싼가격으로 잘산거같아요","이미지 없음"
"5","chah*****","2025-07-29","색상: 바닐라아이보리 / (두께)사이즈: (25mm) 50x50 4장","잘 쓰고 있습니다.","https://phinf.pstatic.net/checkout.phinf/20250729_83/17537379901776dVb4_JPEG/25.07.0120EC868CEC9D8CEBB0A9ECA780EBA7A4ED8AB8.jpg?type=f300_300"
"5","kjh8*****","2025-07-28","색상: 바닐라아이보리 / (두께)사이즈: (25mm) 100x100 1장","좋아요 잘쓰고 있어요","https://phinf.pstatic.net/checkout.phinf/20250728_148/1753711460753b2fvy_JPEG/1753711453032.jpg?type=f300_300"
"5","rlah*******","2025-07-28","색상: 바닐라아이보리 / (두께)사이즈: (25mm) 100x100 1장","층간소음걱정돼서샀습니딘.","https://phinf.pstatic.net/checkout.phinf/20250728_35/1753704677760btFNi_JPEG/1000021745.jpg?type=f300_300"
"5","rlah*******","2025-07-28","색상: 바닐라아이보리 / (두께)사이즈: (25mm) 100x100 1장","애기 층간소음 걱정돼서깔았어요.","https://phinf.pstatic.net/checkout.phinf/20250728_146/1753704646246zbztS_JPEG/1000021745.jpg?type=f300_300"
"5","bbiy****","2025-07-28","색상: 바닐라아이보리 / (두께)사이즈: (25mm) 100x100 1장","너무 좋아요 사이즈가 딱 맞아 좋아요","https://phinf.pstatic.net/checkout.phinf/20250728_237/1753690100509usQXF_JPEG/PayApp_20250728_170805_1471745585909518386.jpg?type=f300_300"
"5","mala****","2025-07-28","색상: 바닐라아이보리 / (두께)사이즈: (25mm) 50x50 4장","완전 꽉 맞추지않으면 자꾸 벌어지고 의자 잠깐놓으면 눌려서 복구안되고 좀 힘들긴해요","이미지 없음"
"5","mala****","2025-07-28","색상: 라이트그레이 / (두께)사이즈: (25mm) 50x50 4장","완전 꽉 맞추지않으면 자꾸 벌어지고 의자 잠깐놓으면 눌려서 복구안되고 좀 힘들긴해요","이미지 없음"
"5","mala****","2025-07-28","색상: 파스텔핑크 / (두께)사이즈: (25mm) 50x50 4장","완전 꽉 맞추지않으면 자꾸 벌어지고 의자 잠깐놓으면 눌려서 복구안되고 좀 힘들긴해요","이미지 없음"
"5","mala****","2025-07-28","색상: 스카이블루 / (두께)사이즈: (25mm) 50x50 4장","완전 꽉 맞추지않으면 자꾸 벌어지고 의자 잠깐놓으면 눌려서 복구안되고 좀 힘들긴해요","이미지 없음"
"5","bh****","2025-07-28","색상: 바닐라아이보리 / (두께)사이즈: (25mm) 50x50 4장","폭신하고 애기가 좋아하는데 설치시 가로 세로 구분을 잘해야 색이 맞는것같고 같은색상인데 조금 다른것도 있네요","이미지 없음"
"5","bh****","2025-07-28","색상: 바닐라아이보리 / (두께)사이즈: (25mm) 100x100 1장","폭신하고 애기가 좋아하는데 설치시 가로 세로 구분을 잘해야 색이 맞는것같고 같은색상인데 조금 다른것도 있네요","이미지 없음"
"5","gkxm****","2025-07-28","색상: 바닐라아이보리 / (두께)사이즈: (25mm) 50x50 4장","모두 좋아요!!!
단 밟을때 소리가 나서 양을 신는게 좋을것 같아요","https://phinf.pstatic.net/checkout.phinf/20250728_67/1753656355032kRVww_JPEG/1000021140.jpg?type=f300_300"
"5","gold*******","2025-07-27","색상: 바닐라아이보리 / (두께)사이즈: (25mm) 100x100 1장","기존 쓰던게 낡아서 가성비로 찾아보다가 바꿨어요. 집안이 밝아진 느낌이에요","https://phinf.pstatic.net/checkout.phinf/20250727_246/1753592774869D225N_JPEG/1753592763676.jpg?type=f300_300"
"5","hyeo*****","2025-07-27","색상: 바닐라아이보리 / (두께)사이즈: (25mm) 50x50 4장","퍼즐매트 너무잘쓰고있어요 아주좋아요","https://phinf.pstatic.net/checkout.phinf/20250727_79/1753590122713rt0Qa_JPEG/image.jpg?type=f300_300"
"5","pv****","2025-07-27","색상: 바닐라아이보리 / (두께)사이즈: (25mm) 100x100 1장","냄새도 크게 없고 좋네요","https://phinf.pstatic.net/checkout.phinf/20250727_259/1753577424118MjsHi_JPEG/1000017364.jpg?type=f300_300"
"5","jyhs*****","2025-07-27","색상: 바닐라아이보리 / (두께)사이즈: (40mm) 100x100 1장","복도쪽에 사용중인데 만족해요 소리가 나는거 빼고는요","https://phinf.pstatic.net/checkout.phinf/20250727_54/1753575865773UNXeT_JPEG/image.jpg?type=f300_300"
"5","2a****","2025-07-27","색상: 라이트그레이 / (두께)사이즈: (25mm) 100x100 1장","빠른 배송(결재 후 다음날)! 엄청납니다.
연결해서 쓰기가 매우 편리하고, 색감도 밝고, 쿠션감도 너무 좋습니다.","https://phinf.pstatic.net/checkout.phinf/20250727_170/175354598927166VkF_JPEG/1000010428.jpg?type=f300_300"
"5","83hi***","2025-07-26","색상: 바닐라아이보리 / (두께)사이즈: (25mm) 100x100 1장","잘쓰고잇어여 넉넉하게사서 데미지입은거 갈아주면서 쓸려구요","https://phinf.pstatic.net/checkout.phinf/20250726_242/1753541456323pYNHb_JPEG/1000001770.jpg?type=f300_300"
"5","dudt******","2025-07-26","색상: 라이트그레이 / (두께)사이즈: (25mm) 100x100 1장","진짜 가성비 갑이에요!!배송도 제품 상태도 만족하고
15개 샀는데 하나남았고 퍼즐형태여서 재단하기도 괜찮고 추천할만 합니다~","https://phinf.pstatic.net/checkout.phinf/20250726_131/1753534839380RRRUG_JPEG/1000031939.jpg?type=f300_300"
"5","wldo***","2025-07-26","색상: 바닐라아이보리 / (두께)사이즈: (40mm) 100x100 1장","실제로 받아보니 두께 4cm  정말 두껍네요!진짜 애들 뛰어다녀도 걱정없고 다칠걱정도없는 두께이고
무게도 어느정도 있어서 밀리지도 않아요.
퍼즐매트 재질이 아시다시피 소리가 나는 재질이라 그부분은 감안하셔야 할거 같아요.
애기 만나기 2달전인데 매트에서 냄새날까봐 미리구매한건데 냄새가 진짜 하나도 안나요
후회 없을정도로 진짜 정말 마음에 듭니다.
재구매 의사있습니다","https://phinf.pstatic.net/image.nmv/shopnbuyer_2025_07_26_1992/jjlSV5eCOm_03.jpg?type=ffn300_300"
"3","komp******","2025-07-26","색상: 바닐라아이보리 / (두께)사이즈: (25mm) 100x100 1장","생각보다 두껍네요.","https://phinf.pstatic.net/checkout.phinf/20250726_275/1753511375819Ngm4m_JPEG/PayApp_20250726_152918_178967901336942232.jpg?type=f300_300"
"5","mika***","2025-07-26","색상: 라이트그레이 / (두께)사이즈: (25mm) 50x50 4장","산지 몇달이 지났지만 잘쓰고 있어요. 다만 고양이 키우는 집은 조심하셔야할게 스크래쳐로 너무 잘쓰네요. 이건 어차피 다른 매트들도 마찬가지일거 같긴 합니다.","https://phinf.pstatic.net/checkout.phinf/20250726_137/1753488664540c8B4S_JPEG/1000017244.jpg?type=f300_300"
"5","jihu*******","2025-07-26","색상: 바닐라아이보리 / (두께)사이즈: (25mm) 50x50 4장","좋아요.푹신해서 안전해요.","이미지 없음"
"5","jihu*******","2025-07-26","색상: 바닐라아이보리 / (두께)사이즈: (25mm) 100x100 1장","좋아요.잘깔아쓰고있어요.","이미지 없음"
"5","in_j****","2025-07-25","색상: 바닐라아이보리 / (두께)사이즈: (25mm) 100x100 1장","층간소음 좋아요..잘쓰고있어요","이미지 없음"
"5","pooh****","2025-07-25","색상: 바닐라아이보리 / (두께)사이즈: (40mm) 100x100 1장","특정 공간에 딱 맞는 사이즈
찾고 있었는데 감사합니다~^^
응대도 너무 잘 해주셔서 감동..","https://phinf.pstatic.net/checkout.phinf/20250725_44/17534387494032XTU0_JPEG/image.jpg?type=f300_300"
"5","puri******","2025-07-25","색상: 파스텔핑크 / (두께)사이즈: (25mm) 50x50 4장","가볍고 두껍고 죠아요~","https://phinf.pstatic.net/checkout.phinf/20250725_149/1753419055679ohx7o_JPEG/IMG_1293.jpeg?type=f300_300"
"3","pcy0****","2025-07-25","색상: 바닐라아이보리 / (두께)사이즈: (25mm) 100x100 1장","생각보다 하나 크기가 엄청 크네요 
휴대용 생각했는데 커서 가지고 다니기는 힘들구여 침대밑에 깔고 써요~~","https://phinf.pstatic.net/checkout.phinf/20250725_9/17534053950412MULD_JPEG/IMG_8799.jpeg?type=f300_300"
"5","pooh******","2025-07-25","색상: 바닐라아이보리 / (두께)사이즈: (25mm) 50x50 4장","큰거랑 작은거 호환이되서 사이즈 구애없이 사용가능해서 조아요! 색 차이가 나서 조금 아쉽지만
만족스러워서 추가 구매했어요a","이미지 없음"
"5","pooh******","2025-07-25","색상: 바닐라아이보리 / (두께)사이즈: (25mm) 100x100 1장","아주 만족하며 사용중이예요
100cm랑 50cm는 색차이가 좀 있어요! 
그부분빼면 만족합니다","https://phinf.pstatic.net/checkout.phinf/20250725_177/1753398492436zcOYi_JPEG/17533984733575849745375658327969.jpg?type=f300_300"
"5","9008****","2025-07-24","색상: 바닐라아이보리 / (두께)사이즈: (25mm) 50x50 4장","눌린부분은 다시 올라오진 않더라구요ㅠㅠ
그래도 가격대비 만족해요","https://phinf.pstatic.net/checkout.phinf/20250724_129/1753356637977akax0_JPEG/image.jpg?type=f300_300"
"4","wmam*****","2025-07-24","색상: 라이트그레이 / (두께)사이즈: (25mm) 50x50 4장","무거운 거 올려놓고 치우면 며칠 방치하면 100%는 아니지만 복구가 좀 되네요. 그치만 민감한 분들께는 추천드리지 않습니다.","이미지 없음"
"4","k7rd******","2025-07-24","색상: 바닐라아이보리 / (두께)사이즈: (40mm) 100x100 1장","색상이 부분부분다름..
그것빼곤 층간소음은 확실히 잡아줄듯","이미지 없음"
"5","dbtm****","2025-07-24","색상: 바닐라아이보리 / (두께)사이즈: (40mm) 100x100 1장","중간중간 비는데 놓으면 딱이에요, 아이의 안전을 위해서!!","이미지 없음"
"5","jose******","2025-07-24","색상: 바닐라아이보리 / (두께)사이즈: (25mm) 100x100 1장","가성비가 좋습니다. 넓은 면적 채우는데 적합했어요.","이미지 없음"
"5","jose******","2025-07-24","색상: 라이트그레이 / (두께)사이즈: (25mm) 100x100 1장","가성비가 좋습니다. 넓은 면적 채우는데 적합했어요.","이미지 없음"
"5","jose******","2025-07-24","색상: 바닐라아이보리 / (두께)사이즈: (25mm) 50x50 4장","가성비가 좋습니다. 넓은 면적 채우는데 적합했어요.","이미지 없음"
"5","jose******","2025-07-24","색상: 라이트그레이 / (두께)사이즈: (25mm) 50x50 4장","가성비가 좋습니다. 넓은 면적 채우는데 적합했어요.","https://phinf.pstatic.net/checkout.phinf/20250724_119/1753336194522OC0iW_JPEG/KakaoTalk_20250723_084714557.jpg?type=f300_300"
"5","tm****","2025-07-24","색상: 바닐라아이보리 / (두께)사이즈: (25mm) 100x100 1장","2년전에 이사하면서 깔았는데 낡아서 새로 깔았어요 저렴하고 품질이 좋아서 만족합니다~","https://phinf.pstatic.net/checkout.phinf/20250724_286/1753335959523CFyhB_JPEG/11452.jpg?type=f300_300"
"5","2get********","2025-07-24","색상: 바닐라아이보리 / (두께)사이즈: (25mm) 100x100 1장","거실이랑 주방에 깔려고 샀습니다. 가성비 좋은 제품 같습니다.","https://phinf.pstatic.net/checkout.phinf/20250724_66/1753334289152sPfMs_JPEG/IMG_0644.jpeg?type=f300_300"
"5","2get********","2025-07-24","색상: 바닐라아이보리 / (두께)사이즈: (25mm) 50x50 4장","거실이랑 주방에 깔려고 샀습니다. 가성비 좋은 제품 같습니다.","https://phinf.pstatic.net/checkout.phinf/20250724_221/1753334202659lo2u5_JPEG/IMG_0643.jpeg?type=f300_300"
