평점,작성자,작성일,구매옵션,리뷰내용,이미지URL
"5","tlfq***","2025-07-29","타입: A타입(100x100x2.5cmx1장) / 색상: 샌드 베이지","아이 있는 집 필수! 잘 사용하고 있습니다. ^^","이미지 없음"
"5","poll****","2025-07-29","타입: A타입(100x100x2.5cmx1장) / 색상: 시쉘 화이트","예전에 구매한거랑 같이 연결해서 쓰고 있어요! 색차이가 있긴 한데 애기 놀이방이라 신경 안쓰고 있고요 좀더 보들보들해진거 같아요! 쓰던거가 좀 눌려서? 처음에는 결합시킬때 좀 뻑뻑했는데 쓰다보니 자연스러워졌어요~","https://phinf.pstatic.net/checkout.phinf/20250729_210/1753740945711OvVpA_JPEG/IMG_4348.jpeg?type=f300_300"
"4","muny******","2025-07-28","타입: A타입(100x100x2.5cmx1장) / 색상: 시쉘 화이트","원하는대로 붙였다 바꿔가며 쓰긴 좋아요","https://phinf.pstatic.net/checkout.phinf/20250728_97/17536662820287Y56c_JPEG/2025-07-28-10-21-45-782.jpg?type=f300_300"
"4","muny******","2025-07-28","타입: B타입(50x50x2.5cmx4장) / 색상: 시쉘 화이트","잘쓰고있어요
잘 밀리지만 그건 어쩔수없을것같구
끝부분에 살짝 벗겨져서 비닐이 말리긴했지만
어쩔수없는것같네요ㅎㅎ","https://phinf.pstatic.net/checkout.phinf/20250728_249/175366620343686cWI_JPEG/2025-07-28-10-21-45-782.jpg?type=f300_300"
"3","wlgu*****","2025-07-28","타입: B타입(50x50x2.5cmx4장) / 색상: 샌드 베이지","기존쓰고 추가더 주문했는데 왜이리 맞추는 부분이 들뜨고 안맞는지..대충씁미자","이미지 없음"
"5","pp****","2025-07-28","타입: B타입(50x50x2.5cmx4장) / 색상: 샌드 베이지","과거에 주문하고 재주문합니다.
윗면 질감이 반질반질하게 변경되었네요. 여름철이라 더 시원한거 같고 만족합니다. 다만 과거에 규매해서 사용하고있는 매트랑 약간 크기의 차이가 있어서 결합간에 공간이 뜨네요. 사용간에 크기가 변형되는지 아니면 기존 사이즈랑 조금 차이가 있는지는 모르겠지만 큰 불편함없이 사용하고 있습니다.","이미지 없음"
"5","load****","2025-07-27","타입: B타입(50x50x2.5cmx4장) / 색상: 샌드 베이지","아이가 있어서 주문했는데 층간소음 걱정 줄었네요","https://phinf.pstatic.net/checkout.phinf/20250727_195/1753604965424xNKAo_JPEG/tmp_6128124824746296615.jpg?type=f300_300"
"5","kong***","2025-07-27","타입: B타입(50x50x2.5cmx4장) / 색상: 샌드 베이지","적당한 두께에 매트 위에서 지내기 좋아요","https://phinf.pstatic.net/checkout.phinf/20250727_144/1753580894148MK5Ox_JPEG/PayApp_20250727_104737_7444065775860439432.jpg?type=f300_300"
"5","sumi****","2025-07-27","타입: B타입(50x50x2.5cmx4장) / 색상: 샌드 베이지","몇번 써보았는데
너무맘에 듭니다 가성비ㅜ굿","https://phinf.pstatic.net/checkout.phinf/20250727_161/1753572263256YoLgX_JPEG/image.jpg?type=f300_300"
"5","sumi****","2025-07-27","타입: A타입(100x100x2.5cmx1장) / 색상: 샌드 베이지","몇년째 여기 제품만 쓰고있는데
만족도 100000000%입니다

소모품이라 몇번을 새로 바꿔사도 
쓸때마다 돈아깝지않게 잘 쓰고있어요
지인들에게도 추천할만큼요

단점은 없어요  장점이 더 많음~~","https://phinf.pstatic.net/checkout.phinf/20250727_150/1753572224349rdfSW_JPEG/image.jpg?type=f300_300"
"5","halo****","2025-07-26","타입: A타입(100x100x2.5cmx1장) / 색상: 샌드 베이지","또 깔아야할 곳이 생겨서 3번째 재구매~잘쓰고 있어여~색이 쌔거랑 쓰던거랑 좀 다르긴한데 이것도 쓰다보면 색이 변하겠져? 거슬링 정도아니라 신경도 안쓰이긴 해여~","https://phinf.pstatic.net/checkout.phinf/20250726_134/17535274697182fFmB_JPEG/20250726_195702.jpg?type=f300_300"
"5","vi****","2025-07-26","타입: A타입(100x100x2.5cmx1장) / 색상: 토니 버치","꺼짐없이 만족스럽습니다","https://phinf.pstatic.net/checkout.phinf/20250726_240/1753456779810bsjCe_JPEG/1000015326.jpg?type=f300_300"
"5","vi****","2025-07-26","타입: A타입(100x100x2.5cmx1장) / 색상: 토니 버치","꺼짐없이 만족스럽습니다","https://phinf.pstatic.net/checkout.phinf/20250726_139/17534567444244mSMT_JPEG/1000015413.jpg?type=f300_300"
"5","vi****","2025-07-26","타입: B타입(50x50x2.5cmx4장) / 색상: 샌드 베이지","꺼짐없이 만족스럽습니다.","https://phinf.pstatic.net/checkout.phinf/20250726_51/17534566703232TN9V_JPEG/1000015326.jpg?type=f300_300"
"5","yn****","2025-07-25","타입: A타입(100x100x2.5cmx1장) / 색상: 샌드 베이지","한판매트할지 퍼즐매트로할지 고민 엄청했는데 결론은 아주 만족입니다
사이즈 딱맞게 재단도 가능하고 추후 찍힘이나 오염생기면 그부분만 교체 가능한게 최고네요","https://phinf.pstatic.net/checkout.phinf/20250725_264/1753443819310xSMto_JPEG/1753443805155.jpg?type=f300_300"
"5","yn****","2025-07-25","타입: B타입(50x50x2.5cmx4장) / 색상: 샌드 베이지","품절인 컬러가 많아서 선택권이 적어서 아쉬워요
감촉 부드럽고 나중에 필요하면 추가로 연장할수 있어서 좋아요","https://phinf.pstatic.net/checkout.phinf/20250725_227/1753443717617DSiIu_JPEG/1753443698829.jpg?type=f300_300"
"5","korm*****","2025-07-25","타입: A타입(100x100x2.5cmx1장) / 색상: 샌드 베이지","좋아요 좋아요 좋아요","https://phinf.pstatic.net/checkout.phinf/20250725_188/1753432503476uo95e_JPEG/1000013270.jpg?type=f300_300"
"4","tndm*****","2025-07-25","타입: B타입(50x50x2.5cmx4장) / 색상: 샌드 베이지","기존 알집매트 사용 중 
뛰어다니는 걸 좋아하는 첫째아이를 위해 
남는 공간에 에코폼매트 설치해주니 
연결부분이 늘어지는거 빼곤 탄탄하고 
좋네요 👍","이미지 없음"
"5","ryeo*****","2025-07-25","타입: A타입(100x100x2.5cmx1장) / 색상: 시쉘 화이트","아주 잘쓰고있습니다 진작할걸 후회 미리미리 해놓으세요 복도에다가 깔았어요 사이즈 좋습니다","https://phinf.pstatic.net/checkout.phinf/20250725_162/1753411560968sGPaE_JPEG/image.jpg?type=f300_300"
"5","chor********","2025-07-24","타입: A타입(100x100x2.5cmx1장) / 색상: 시쉘 화이트","설치편하고 두꺼워서 층간소음예방이 좋아요","이미지 없음"
"5","yena***","2025-07-24","타입: A타입(100x100x2.5cmx1장) / 색상: 샌드 베이지","재질 사이즈 가격 좋아요
이음새들이 좀 더 타이트하고 매끈하면 좋겠는데 끼울 때 요령이나 도구가 있으면 좋을 것 같아요","https://phinf.pstatic.net/checkout.phinf/20250724_82/17533564261803qjtX_JPEG/image.jpg?type=f300_300"
"5","sh****","2025-07-24","타입: A타입(100x100x2.5cmx1장) / 색상: 시쉘 화이트","폭신하고 두껍고 좋아요 색도 적당히 밝아서 포근합니다.","https://phinf.pstatic.net/checkout.phinf/20250724_12/1753346946478VI8EU_JPEG/image.jpg?type=f300_300"
