평점,작성자,작성일,구매옵션,리뷰내용,이미지URL
"5","smi1***","2025-07-28","타입/색상: 방방퍼즐-크림 / 사이즈: 100x100x3cm (1장)","사용잘하고있습니다.","https://phinf.pstatic.net/checkout.phinf/20250728_122/1753680708714TdU5C_JPEG/KakaoTalk_20230308_095604000.jpg?type=f300_300"
"5","chib********","2025-07-27","타입/색상: 방방퍼즐-크림 / 사이즈: 100x100x3cm (1장)","바닥이 너무 딱딱해서 아기 놀이용으로 구매했는데 적당히 쿠션감 있고 좋네요","이미지 없음"
"5","bigb******","2025-07-26","타입/색상: 방방퍼즐-크림 / 사이즈: 100x100x3cm (1장)","설치하기가 편리 했습니다.","이미지 없음"
"5","love*********","2025-07-25","타입/색상: 방방퍼즐-크림 / 사이즈: 50x50x3cm (4장)","아기가 침대밑으로 떨어질까봐 구입했는데 사이즈도적당하고 잘라쓰기도편하고 아주 만족합니다. 추가로 구입해서 거실도 깔아주려고합니다. 만족!!","https://phinf.pstatic.net/checkout.phinf/20250725_290/17534204626903at6u_JPEG/1000047577.jpg?type=f300_300"
"5","smi1***","2025-07-25","타입/색상: 방방퍼즐-그레이 / 사이즈: 50x50x3cm (4장)","사용잘하고있습니다.","https://phinf.pstatic.net/checkout.phinf/20250725_92/1753402625775mpcJu_JPEG/KakaoTalk_20230308_095604000.jpg?type=f300_300"
"5","smi1***","2025-07-25","타입/색상: 방방퍼즐-크림 / 사이즈: 50x50x3cm (4장)","사용잘하고있습니다.","https://phinf.pstatic.net/checkout.phinf/20250725_200/1753402546492IMVKJ_JPEG/KakaoTalk_20230308_095604000.jpg?type=f300_300"
"5","smi1***","2025-07-25","타입/색상: 방방퍼즐-크림 / 사이즈: 100x100x3cm (1장)","사용잘하고있습니다.","https://phinf.pstatic.net/checkout.phinf/20250725_29/1753402515613KTpz0_JPEG/KakaoTalk_20230308_095604000.jpg?type=f300_300"
"5","sjki*******","2025-07-23","타입/색상: 방방퍼즐-크림 / 사이즈: 100x100x3cm (1장)","돌안지난 조카가 집에 자주 와서 거실에 매트 깔려고 주문했는데 쿠션감 좋고 두께 적당해요","이미지 없음"
"5","sorr******","2025-07-23","타입/색상: 🧡NEW🧡 탄탄퍼즐-모노그레이 / 사이즈: 100x100x4cm (1장)","두껍고 좋습니다 테이프는 잘 안붙네요","https://phinf.pstatic.net/checkout.phinf/20250723_217/1753246896002XBL6n_JPEG/image.jpg?type=f300_300"
"5","ny-s*****","2025-07-23","타입/색상: 방방퍼즐-크림 / 사이즈: 50x50x3cm (4장)","배송이 빠르고 좋습니다 감사합니다","이미지 없음"
"5","dkwn******","2025-07-23","타입/색상: 방방퍼즐-크림 / 사이즈: 50x50x3cm (4장)","방에 빈 공간 없이 메꿀수 있어서 좋아요","https://phinf.pstatic.net/checkout.phinf/20250723_260/1753233510795mfRLB_JPEG/1000017192.jpg?type=f300_300"
"5","smi1***","2025-07-23","타입/색상: 방방퍼즐-그레이 / 사이즈: 50x50x3cm (4장)","사용잘하고있습니다.","https://phinf.pstatic.net/checkout.phinf/20250723_142/1753231347881k4lHl_JPEG/KakaoTalk_20230308_095604000.jpg?type=f300_300"
"5","llov******","2025-07-22","타입/색상: 방방퍼즐-크림 / 사이즈: 50x50x3cm (4장)","폴더매트 깔고 남은 곳에 깔려고 50CM 100CM 다양하게 구매했어요! 아주 만족합니다.","이미지 없음"
