평점,작성자,작성일,구매옵션,리뷰내용,이미지URL
5,mila******,2025.10.27,색상: BEST👑아이보리 / 두께 / 폭: 1.7cm / 120cm / 길이(최대 7m까지 연결가능): 3m,생각보다 두툼해서 충격방지도 가능하고 깔끔하고 너무 좋아요. 진작 바꿀 걸 그랬네요,https://phinf.pstatic.net/checkout.phinf/20251027_109/1761529533159gq46x_JPEG/1761529494120.jpg?type=f300_300
5,hk****,2025.10.27,색상: BEST👑아이보리 / 두께 / 폭: 1.7cm / 120cm / 길이(최대 7m까지 연결가능): 4m50cm,좋아요 집이 훨씬 아늑함,https://phinf.pstatic.net/checkout.phinf/20251027_95/1761527619180dhFPh_JPEG/1000032750.jpg?type=f300_300
5,hk****,2025.10.27,색상: BEST👑아이보리 / 두께 / 폭: 1.7cm / 120cm / 길이(최대 7m까지 연결가능): 4m,너무 좋아요 진작 살걸 후회돼요,https://phinf.pstatic.net/checkout.phinf/20251027_297/1761527584898PplTj_JPEG/1000032750.jpg?type=f300_300
5,hk****,2025.10.27,색상: BEST👑아이보리 / 두께 / 폭: 1.7cm / 120cm / 길이(최대 7m까지 연결가능): 3m50cm,너무 좋아요 후회 ㅇㅂㅅ어요,https://phinf.pstatic.net/checkout.phinf/20251027_103/1761527539251CaU3X_JPEG/1000032750.jpg?type=f300_300
5,hk****,2025.10.27,색상: BEST👑아이보리 / 두께 / 폭: 1.7cm / 110cm / 길이(최대 7m까지 연결가능): 3m50cm,역시 깔길 잘햇어요 너무 좋아요,https://phinf.pstatic.net/checkout.phinf/20251027_24/1761527493501m2i8t_JPEG/1000032750.jpg?type=f300_300
5,ny****,2025.10.26,색상: HOT🔥스톤베이지 / 두께 / 폭: 1.7cm / 110cm / 길이(최대 7m까지 연결가능): 2m50cm,스톤베이지색 이뻐요 맘에 들어요 폭신폭신해서 아기가 잘 사용하네욤 ! 다른곳도 설치하고 싶네요 ㅔ,https://phinf.pstatic.net/checkout.phinf/20251026_14/17614847419099x8gt_JPEG/IMG_0875.jpeg?type=f300_300
5,ny****,2025.10.26,색상: HOT🔥스톤베이지 / 두께 / 폭: 1.7cm / 110cm / 길이(최대 7m까지 연결가능): 2m,스톤베이지로 구매했는데 집 바닥과 비슷한 색이라 이질감이 없어서 좋아요 ! 재단을 잘못해서 어긋나보이지만 맘에 듭니다 다른 곳도 설치하고 싶어오,https://phinf.pstatic.net/checkout.phinf/20251026_108/1761484665662cAWiE_JPEG/IMG_0875.jpeg?type=f300_300
5,viol****,2025.10.26,색상: HOT🔥스톤베이지 / 두께 / 폭: 1.7cm / 110cm / 길이(최대 7m까지 연결가능): 4m,드디어 거실 주방 아기방 시공 마쳤습니다 위아래 똑바로 자르는게 어렵지만 원하는 크기로 잘 잘라집니다,https://phinf.pstatic.net/checkout.phinf/20251026_178/1761483795817gShyh_JPEG/1000022856.jpg?type=f300_300
5,viol****,2025.10.26,색상: HOT🔥스톤베이지 / 두께 / 폭: 1.7cm / 110cm / 길이(최대 7m까지 연결가능): 7m,기존쓰던거에서 애기가 이제 활동범위가 넓어져서 추가로 더 구매했는데 1.6mm두께였는데 1.7mm로 바껴서 단차가 생겼어요ㅜㅜ,https://phinf.pstatic.net/checkout.phinf/20251026_240/1761483633696SKnOw_JPEG/1000021783.jpg?type=f300_300
5,tmdg******,2025.10.26,색상: BEST👑아이보리 / 두께 / 폭: 1.7cm / 90cm / 길이(최대 7m까지 연결가능): 3m50cm,추천받아 구매했는데 역시나 좋네요,https://phinf.pstatic.net/checkout.phinf/20251026_244/1761480399706JMXc2_JPEG/IMG_5528.jpeg?type=f300_300
5,kang******,2025.10.26,색상: BEST👑아이보리 / 두께 / 폭: 1.7cm / 100cm / 길이(최대 7m까지 연결가능): 4m,사이즈면 두께감 전부다 생각했던대로에요 만족합니다 ^^,이미지 없음
5,alsl******,2025.10.26,색상: BEST👑아이보리 / 두께 / 폭: 1.7cm / 130cm / 길이(최대 7m까지 연결가능): 2m,"곧 이사갈 집이라 큰 돈 쓰기는 싫어서
구매했는데 생각보다 푹신하고 만족해요",https://phinf.pstatic.net/checkout.phinf/20251026_64/1761476642783Rx2ax_JPEG/20251026_195931.jpg?type=f300_300
5,qlsw****,2025.10.26,색상: BEST👑아이보리 / 두께 / 폭: 1.7cm / 120cm / 길이(최대 7m까지 연결가능): 3m,좋아요♡♡♡♡♡♡♡,https://phinf.pstatic.net/checkout.phinf/20251026_280/1761457923204uPv4b_JPEG/1761457913992.jpg?type=f300_300
5,qlsw****,2025.10.26,색상: BEST👑아이보리 / 두께 / 폭: 1.7cm / 110cm / 길이(최대 7m까지 연결가능): 2m,좋아요♡♡♡♡♡♡♡♡,https://phinf.pstatic.net/checkout.phinf/20251026_250/1761457894927k90Wo_JPEG/1761457885509.jpg?type=f300_300
5,qlsw****,2025.10.26,색상: BEST👑아이보리 / 두께 / 폭: 1.7cm / 110cm / 길이(최대 7m까지 연결가능): 5m50cm,좋아요♡♡♡♡♡♡♡,https://phinf.pstatic.net/checkout.phinf/20251026_139/1761457870576MOfmu_JPEG/1761457861197.jpg?type=f300_300
5,qlsw****,2025.10.26,색상: BEST👑아이보리 / 두께 / 폭: 1.7cm / 135cm / 길이(최대 7m까지 연결가능): 2m50cm,좋아요♡♡♡♡♡♡♡,https://phinf.pstatic.net/checkout.phinf/20251026_91/1761457844873KbLBx_JPEG/1761457835116.jpg?type=f300_300
5,shha****,2025.10.26,색상: 라이트그레이 / 두께 / 폭: 1.7cm / 110cm / 길이(최대 7m까지 연결가능): 6m50cm,"원래쓰던거보다 두껍고 좋아요 
말아서 보관은 힘들것 같아요",https://phinf.pstatic.net/checkout.phinf/20251026_181/1761450122245qYM88_JPEG/IMG_8572.jpeg?type=f300_300
5,kars****,2025.10.26,색상: BEST👑아이보리 / 두께 / 폭: 1.7cm / 100cm / 길이(최대 7m까지 연결가능): 4m50cm,전에 거실에 깔았는데 만족스러워서 복도에도 깔았어요. 층간소음이 한결 덜하고 걸을때도 편하네요. 유일한 단점은 청소기가 잘 안밀린다는 건데 이것도 카펫용 헤드로 바꾸니 괜찮네요,https://phinf.pstatic.net/checkout.phinf/20251026_83/1761445062712sN8tC_JPEG/tmp_3331483445059124375.jpg?type=f300_300
5,mjw1*****,2025.10.25,색상: BEST👑아이보리 / 두께 / 폭: 1.7cm / 110cm / 길이(최대 7m까지 연결가능): 2m,"애기 뛰는 소리에 신경이 많이 쓰였는데 두툼해서 전혀 소리도 없고 마음에 듭니다.
색상이 다양했으면 더 좋았을건데 이점이 아쉽긴합니다.
기타 마무리 테이프가 미포함이라는점이 마이너스 별점감이지만 만점드립니다 다른분들 혹 테이프 미포함을 몰라서 난감한 경우를 격지 않도록 비누관련 서은품 보다는 테이프를 하나 정도 포함해주셨으면 싶네요.
아무튼 마음에 듭니다.",https://phinf.pstatic.net/checkout.phinf/20251025_238/1761394564667tmui2_JPEG/20251025_150637.jpg?type=f300_300
