평점,작성자,작성일,구매옵션,리뷰내용,이미지URL
5,budd*****,2025.10.27,💚LUCKY💚두께 / 디자인: 베이직(1.7cm) / 미니젤리 / 가로폭: 110cm / 길이: 1m,아기가 왔다갔다 하기에 깔아주었는데 너무 좋아요,https://phinf.pstatic.net/checkout.phinf/20251027_161/1761532449014iP80k_JPEG/1761532438634.jpg?type=f300_300
5,miyo*******,2025.10.27,🤎폴인세일🤎두께 / 디자인: 베이직(1.7cm) / 샌드스톤 / 가로폭: 150cm / 길이: 1m,매번 깔지만 완벽히 재단은 힘들지만 오차범위가 너무 크네요 ㅠ 결국 신랑이랑 어느정도 감수하고 깔고 살기로 했네요~ 그래도 깔고 나니 마음은 많이 편안해졌네요~,https://phinf.pstatic.net/checkout.phinf/20251027_167/1761530041368L438t_JPEG/1000007580.jpg?type=f300_300
5,miyo*******,2025.10.27,🤎폴인세일🤎두께 / 디자인: 베이직(1.7cm) / 샌드스톤 / 가로폭: 100cm / 길이: 1m,매번 깔지만 완벽히 재단은 힘들지만 오차범위가 너무 크네요 ㅠ 결국 신랑이랑 어느정도 감수하고 깔고 살기로 했네요~ 그래도 깔고 나니 마음은 많이 편안해졌네요~,https://phinf.pstatic.net/checkout.phinf/20251027_101/1761529969794Vc07L_JPEG/1000007580.jpg?type=f300_300
5,hann*****,2025.10.27,🤎폴인세일🤎두께 / 디자인: 베이직(1.7cm) / 세이지그레이지 / 가로폭: 150cm / 길이: 1m,"기다리고 기다려서 라방때 재구매!
발바닥 붙을까봐 걱정했는데 뽀송뽀송 그 자체입니다!

꼭 구매해보세요!",https://phinf.pstatic.net/checkout.phinf/20251027_257/1761527550104XvBwI_JPEG/20251026_173516.jpg?type=f300_300
5,wooh*******,2025.10.27,💝특선물💝두께 / 디자인: 베이직(1.7cm) / 샌드스톤 / 가로폭: 120cm / 길이: 1m,써보니까 편하고 안전해서 좋아요,https://phinf.pstatic.net/checkout.phinf/20251027_190/1761527705300XKEwn_JPEG/1000021940.jpg?type=f300_300
5,hann*****,2025.10.27,🤎폴인세일🤎두께 / 디자인: 베이직(1.7cm) / 세이지그레이지 / 가로폭: 100cm / 길이: 1m,"재단하기는 힘들지만 진짜 좋아요..
비싸지만 값어치 합니다!
강추강추 입니다",https://phinf.pstatic.net/checkout.phinf/20251027_54/1761527480275HanF2_JPEG/20251026_173525.jpg?type=f300_300
5,hann*****,2025.10.27,👦🏻BABY&KIDS👧🏻두께 / 디자인: 베이직(1.7cm) / 세이지그레이지 / 가로폭: 150cm / 길이: 1m,"거실만 했다가 만족도가 좋아서 라방이벤트 할때 재구매했습니다.!

오래된 구축 아파트라 아랫집에서 낮이든 밤이든 찾아올라오네요....걷지도 못 하게해서 큰맘 먹고 많은 서치후 구매했습니다.
일단 발바닥 통증 감소. 소리 감소 너무 좋습니다. 

단!! 재단하기 힘드네요ㅠ
1.7센치라서ㅠ 꿀팁이라면 자를때 손바닥으로 매트 꾸윽 눌러서 최대한 얇게해서 자르해서 훨씬 잘 자를수 있습니다.그리고 1번에 커팅하세요. 아니면 지저분해집니다.",https://phinf.pstatic.net/checkout.phinf/20251027_104/1761527077412cf9Jh_JPEG/20251026_173516.jpg?type=f300_300
5,kha_*****,2025.10.27,🍂가을세일🍂두께 / 디자인: 베이직(1.7cm) / 샌드스톤 / 가로폭: 110cm / 길이: 1m,맘에 들어요 아이쓰기 적당해요,이미지 없음
5,kha_*****,2025.10.27,🍂가을세일🍂두께 / 디자인: 베이직(1.7cm) / 샌드스톤 / 가로폭: 100cm / 길이: 1m,"두툼해서 좋아요
사이즈도 적절하게 왔어요",https://phinf.pstatic.net/checkout.phinf/20251027_242/1761526973469QUxus_JPEG/1761526956682.jpg?type=f300_300
5,sk****,2025.10.27,👦🏻BABY&KIDS👧🏻두께 / 디자인: 베이직(1.7cm) / 러그아이보리 / 가로폭: 110cm / 길이: 1m,"베란다에 깔아놓으려고 샀어요
사이즈도 딱 맞아서 좋아요",이미지 없음
5,namm****,2025.10.27,🍂가을세일🍂두께 / 디자인: 베이직(1.7cm) / 미니젤리 / 가로폭: 100cm / 길이: 1m,빠른배송 너무 좋습니다,https://phinf.pstatic.net/checkout.phinf/20251027_109/176152034117876OXw_JPEG/8115.jpg?type=f300_300
5,lsy9***,2025.10.26,👦🏻BABY&KIDS👧🏻두께 / 디자인: 베이직(1.7cm) / 샌드스톤 / 가로폭: 120cm / 길이: 1m,안심되고 깔기도 편하고 좋아요 전세집인데도 깔았네요 셀프로,https://phinf.pstatic.net/checkout.phinf/20251026_281/1761489102319P3HXc_JPEG/image.jpg?type=f300_300
5,lsy9***,2025.10.26,👦🏻BABY&KIDS👧🏻두께 / 디자인: 베이직(1.7cm) / 샌드스톤 / 가로폭: 140cm / 길이: 1m,깔기 너무 편하고 아이가 미끄럼틀에 떨어져도 안심이예여,https://phinf.pstatic.net/checkout.phinf/20251026_181/1761489072117A76QH_JPEG/image.jpg?type=f300_300
5,catc*****,2025.10.26,💚LUCKY💚두께 / 디자인: 베이직(1.7cm) / 러그아이보리 / 가로폭: 100cm / 길이: 1m,좋아요 1차설치후. 추가설치용,이미지 없음
